stimulus,start_time,end_time,positionX,positionY
8,1713862139.9549167,1713862141.9311705,14.0,0.0
16,1713862143.2332492,1713862145.3330534,0.0,-10.0
30,1713862146.5962343,1713862148.509011,-14.0,10.0
27,1713862149.7918177,1713862151.8935158,-14.0,-5.0
2,1713862152.9135451,1713862154.9435337,21.0,-5.0
17,1713862156.4315815,1713862158.4404423,0.0,-5.0
10,1713862159.5398703,1713862161.4514177,14.0,10.0
12,1713862162.5375044,1713862164.4409204,7.0,-5.0
9,1713862165.6096418,1713862167.5106468,14.0,5.0
7,1713862168.63343,1713862170.5374548,14.0,-5.0
5,1713862171.9317224,1713862173.935919,21.0,10.0
31,1713862174.991551,1713862176.9386404,-21.0,-10.0
6,1713862178.0068376,1713862179.9313524,14.0,-10.0
19,1713862181.4377675,1713862183.4309294,0.0,5.0
21,1713862184.6058972,1713862186.507526,-7.0,-10.0
22,1713862187.9101744,1713862189.9353914,-7.0,-5.0
29,1713862191.2875106,1713862193.3868432,-14.0,5.0
4,1713862194.4321067,1713862196.43779,21.0,5.0
28,1713862197.7857368,1713862199.8867023,-14.0,0.0
15,1713862201.02582,1713862202.9309342,7.0,10.0
35,1713862204.3308787,1713862206.443728,-21.0,10.0
13,1713862207.7817495,1713862209.8821642,7.0,0.0
24,1713862211.1881425,1713862213.2963002,-7.0,5.0
14,1713862214.6558108,1713862216.559353,7.0,5.0
20,1713862217.9320772,1713862219.933151,0.0,10.0
18,1713862221.2809262,1713862223.3809044,0.0,0.0
26,1713862224.7871213,1713862226.891697,-14.0,-10.0
11,1713862228.206413,1713862230.309007,7.0,-10.0
34,1713862231.3625932,1713862233.431199,-21.0,5.0
33,1713862234.7202406,1713862236.8306227,-21.0,0.0
25,1713862238.1869948,1713862240.292103,-7.0,10.0
1,1713862241.4309077,1713862243.4312003,21.0,-10.0
23,1713862244.4816887,1713862246.4442244,-7.0,0.0
3,1713862247.9325116,1713862249.9450831,21.0,0.0
32,1713862251.206305,1713862253.3059208,-21.0,-5.0
