timestamps,frame_nr,left_glint1X,left_glint1Y,left_glint2X,left_glint2Y,left_pupilX,left_pupilY,right_glint1X,right_glint1Y,right_glint2X,right_glint2Y,right_pupilX,right_pupilY
1713359163.6218698,29683,1864.0,1253.0,1860.3859649122808,1253.3157894736842,1867.8117141723633,1214.2185897827148,1138.0,1296.0,1138.0,1296.0,1122.0769424438477,1251.7614974975586
1713359163.6558888,29684,1859.0,1253.0,1853.0,1251.0,1868.4515533447266,1217.2546310424805,1167.5,1292.0,1166.5,1284.9166666666667,1122.806022644043,1254.6117248535156
1713359163.6713383,29685,1850.8333333333333,1262.861111111111,1848.5,1252.9166666666667,1862.9222030639648,1220.232048034668,1139.2380952380952,1291.2857142857142,1135.0,1311.0,1121.089210510254,1259.0981674194336
1713359163.6863465,29686,1854.0,1264.0,1850.375,1251.5833333333333,1863.9817581176758,1217.8597030639648,1150.0,1287.6666666666667,1139.0,1299.0,1123.131721496582,1255.3571014404297
1713359163.7042131,29687,1838.0,1246.0,1828.0,1240.0,1861.9349975585938,1200.7444229125977,1143.2666666666667,1286.9333333333334,1138.75,1296.5,1114.7731628417969,1242.3410415649414
1713359163.7253351,29688,1822.2298850574712,1171.8505747126437,1803.111111111111,1172.6565656565656,1821.697250366211,1163.9437522888184,1168.4814814814815,1258.8518518518517,1156.0,1270.0,1118.630958557129,1223.1900939941406
1713359163.745445,29689,1821.3603603603603,1173.6396396396397,1802.0,1174.25,1818.0519409179688,1159.822639465332,1198.8229166666667,1210.359375,1179.5858585858587,1210.5959595959596,1188.1678466796875,1194.3894157409668
1713359163.7658286,29690,1820.3100775193798,1174.7751937984497,1801.0,1175.5,1817.0627899169922,1160.8993225097656,1198.6944444444443,1211.5,1179.5,1212.125,1189.8111877441406,1195.0341796875
1713359163.7870314,29691,1819.4575163398692,1175.7712418300653,1800.2764227642276,1176.4471544715448,1816.5469207763672,1161.5098266601562,1198.8022598870057,1212.1920903954801,1179.6936936936936,1212.8828828828828,1189.6769638061523,1195.6737976074219
1713359163.8218074,29692,1818.9295774647887,1176.4413145539907,1799.4761904761904,1176.8809523809523,1815.6856079101562,1162.4216995239258,1199.0,1213.0,1179.9411764705883,1213.3823529411766,1190.411979675293,1195.8274002075195
1713359163.8530958,29693,1818.568888888889,1176.6888888888889,1799.3798449612402,1177.3798449612402,1815.4457778930664,1162.7857818603516,1199.5192307692307,1213.173076923077,1180.2380952380952,1213.6761904761904,1190.337989807129,1196.5901260375977
