stimulus,start_time,end_time,positionX,positionY
8,1713511897.4340398,1713511899.4317665,14.0,0.0
16,1713511900.8865411,1713511902.9309733,0.0,-10.0
30,1713511904.4318278,1713511906.4330873,-14.0,10.0
27,1713511907.6588132,1713511909.5598166,-14.0,-5.0
2,1713511910.6619499,1713511912.5649173,21.0,-5.0
17,1713511913.8083422,1713511915.9095092,0.0,-5.0
10,1713511917.3062413,1713511919.4061496,14.0,10.0
12,1713511920.5073123,1713511922.4310322,7.0,-5.0
9,1713511923.681064,1713511925.781105,14.0,5.0
7,1713511926.9333296,1713511928.9311254,14.0,-5.0
5,1713511930.4336562,1713511932.4318795,21.0,10.0
31,1713511933.6558917,1713511935.5557754,-21.0,-10.0
6,1713511936.8091986,1713511938.9133496,14.0,-10.0
19,1713511940.0812523,1713511941.9810548,0.0,5.0
21,1713511943.1104505,1713511945.009834,-7.0,-10.0
22,1713511946.1811118,1713511948.2814267,-7.0,-5.0
29,1713511949.6318388,1713511951.5359907,-14.0,5.0
4,1713511952.8081675,1713511954.9097157,21.0,5.0
28,1713511956.0564046,1713511957.9585183,-14.0,0.0
15,1713511959.0869381,1713511960.9869998,7.0,10.0
35,1713511962.3065512,1713511964.4061773,-21.0,10.0
13,1713511965.5080376,1713511967.4314196,7.0,0.0
24,1713511968.9065833,1713511970.933504,-7.0,5.0
14,1713511972.131495,1713511974.0311148,7.0,5.0
20,1713511975.2092733,1713511977.3097296,0.0,10.0
18,1713511978.7062087,1713511980.8065279,0.0,0.0
26,1713511981.9097412,1713511983.931488,-14.0,-10.0
11,1713511985.2843025,1713511987.3862045,7.0,-10.0
34,1713511988.7595139,1713511990.8594406,-21.0,5.0
33,1713511992.3560324,1713511994.4359696,-21.0,0.0
25,1713511995.7632701,1713511997.8633869,-7.0,10.0
1,1713511999.306621,1713512001.410533,21.0,-10.0
23,1713512002.5087662,1713512004.4308941,-7.0,0.0
3,1713512005.431819,1713512007.4402328,21.0,0.0
32,1713512008.4310246,1713512010.4345496,-21.0,-5.0
