stimulus,start_time,end_time,positionX,positionY
8,1713862306.933116,1713862308.931274,14.0,0.0
16,1713862310.0572321,1713862311.957021,0.0,-10.0
30,1713862313.2874844,1713862315.3875973,-14.0,10.0
27,1713862316.4316704,1713862318.4310439,-14.0,-5.0
2,1713862319.856864,1713862321.931109,21.0,-5.0
17,1713862323.0845191,1713862324.9901912,0.0,-5.0
10,1713862326.266277,1713862328.3682947,14.0,10.0
12,1713862329.5331464,1713862331.4352932,7.0,-5.0
9,1713862332.9116302,1713862334.931742,14.0,5.0
7,1713862336.3312716,1713862338.4325643,14.0,-5.0
5,1713862339.4380121,1713862341.4312274,21.0,10.0
31,1713862342.8830273,1713862344.9333448,-21.0,-10.0
6,1713862346.2334375,1713862348.333198,14.0,-10.0
19,1713862349.7203352,1713862351.8205435,0.0,5.0
21,1713862353.2309265,1713862355.3313174,-7.0,-10.0
22,1713862356.5818396,1713862358.4846478,-7.0,-5.0
29,1713862359.6158016,1713862361.5164578,-14.0,5.0
4,1713862362.530862,1713862364.431551,21.0,5.0
28,1713862365.9057508,1713862367.934971,-14.0,0.0
15,1713862369.4307773,1713862371.4329085,7.0,10.0
35,1713862372.5096288,1713862374.440745,-21.0,10.0
13,1713862375.6331253,1713862377.5345147,7.0,0.0
24,1713862378.657755,1713862380.5586615,-7.0,5.0
14,1713862381.617622,1713862383.5189388,7.0,5.0
20,1713862384.5814617,1713862386.4908967,0.0,10.0
18,1713862387.586342,1713862389.4874187,0.0,0.0
26,1713862390.7825296,1713862392.8820462,-14.0,-10.0
11,1713862394.1062024,1713862396.0166402,7.0,-10.0
34,1713862397.1830063,1713862399.2834775,-21.0,5.0
33,1713862400.3063161,1713862402.406817,-21.0,0.0
25,1713862403.794783,1713862405.9007845,-7.0,10.0
1,1713862407.237479,1713862409.3373473,21.0,-10.0
23,1713862410.5091574,1713862412.4315803,-7.0,0.0
3,1713862413.731004,1713862415.831672,21.0,0.0
32,1713862417.13134,1713862419.032968,-21.0,-5.0
