timestamps,frame_nr,left_glint1X,left_glint1Y,left_glint2X,left_glint2Y,left_pupilX,left_pupilY,right_glint1X,right_glint1Y,right_glint2X,right_glint2Y,right_pupilX,right_pupilY
1713510906.2079244,189,1924.877192982456,1028.5263157894738,1906.710144927536,1028.927536231884,1920.9266510009768,1013.5313339233398,,,,,,
1713510906.2306244,190,1925.1711711711712,1029.045045045045,1906.85,1029.2666666666669,1921.1491088867188,1013.7780532836914,,,,,,
1713510906.253648,191,1925.4736842105265,1028.9736842105262,1907.0666666666664,1029.4533333333334,1921.528663635254,1013.6972732543944,,,,,,
1713510906.275626,192,1925.595238095238,1029.047619047619,1907.072463768116,1029.2898550724638,1921.480926513672,1013.8896026611328,,,,,,
1713510906.2984335,193,1925.7631578947369,1029.1052631578948,1907.555555555556,1029.920634920635,1921.4270401000977,1014.0380172729492,,,,,,
1713510906.3215475,194,1925.8833333333328,1029.3833333333332,1907.710144927536,1029.927536231884,1921.855239868164,1014.359733581543,,,,,,
1713510906.3444264,195,1926.1711711711712,1030.045045045045,1907.8636363636365,1030.4545454545455,1921.829948425293,1015.168815612793,,,,,,
1713510906.3718638,196,1925.8833333333328,1030.3333333333333,1907.555555555556,1030.920634920635,1922.2395248413088,1015.2380447387696,,,,,,
1713510906.3980944,197,1925.7698412698408,1030.3650793650793,1907.6140350877192,1030.7543859649122,1921.803092956543,1015.4026260375977,,,,,,
1713510906.4176185,198,1925.877192982456,1030.4736842105262,1907.8533333333328,1030.8533333333332,1922.0534744262693,1015.367546081543,,,,,,
1713510906.4396174,199,1926.1166666666663,1030.3333333333333,1907.691358024692,1030.8641975308642,1922.4544525146484,1015.1755905151368,,,,,,
1713510906.4609134,200,1926.1711711711712,1030.045045045045,1908.0,1030.5,1922.2167053222656,1015.1199264526368,,,,,,
1713510906.483933,201,1926.375,1029.825,1908.289855072464,1030.072463768116,1922.43603515625,1014.7458572387696,,,,,,
1713510906.5058668,202,1926.595238095238,1030.047619047619,1908.2666666666669,1030.253333333333,1922.7872314453125,1015.339584350586,,,,,,
1713510906.5289652,203,1926.047619047619,1030.047619047619,1907.733333333333,1030.6666666666667,1922.448181152344,1015.081398010254,,,,,,
1713510906.5511768,204,1924.855855855856,1030.018018018018,1906.8,1030.3,1921.091583251953,1014.9085006713868,,,,,,
1713510906.5737212,205,1924.2905982905984,1029.991452991453,1905.9420289855072,1030.4057971014493,1920.0869522094729,1014.6024703979492,,,,,,
1713510906.5964398,206,1924.575,1030.175,1906.072463768116,1030.608695652174,1920.482215881348,1015.3841247558594,,,,,,
1713510906.618986,207,1925.201754385965,1030.40350877193,1906.8533333333328,1030.8533333333332,1921.055923461914,1015.4609832763672,,,,,,
1713510906.6421962,208,1926.03125,1030.71875,1907.75,1031.0,1922.3120193481443,1015.8233642578124,,,,,,
1713510906.6939511,209,1926.4761904761904,1030.8809523809523,1908.072463768116,1031.2898550724638,1922.1129608154297,1015.8901290893556,,,,,,
1713510906.7282984,210,1926.5,1031.1,1908.072463768116,1031.608695652174,1922.7819290161133,1016.1554718017578,,,,,,
1713510906.7543314,211,1926.4952380952384,1031.4190476190477,1908.0972222222224,1031.6944444444443,1922.5338973999023,1016.2745895385742,,,,,,
1713510906.7654076,212,1926.2301587301588,1031.3650793650793,1907.8533333333328,1031.8533333333332,1922.1692962646484,1016.4879837036132,,,,,,
1713510906.793088,213,1925.6315789473683,1031.2894736842104,1907.3472222222224,1032.0,1921.5035095214844,1016.2591247558594,,,,,,
1713510906.8142562,214,1925.1711711711712,1031.045045045045,1906.9333333333327,1031.5466666666666,1921.132598876953,1015.884521484375,,,,,,
1713510906.824498,215,1924.8833333333328,1030.3333333333333,1906.8533333333328,1030.8533333333332,1921.027847290039,1015.66943359375,,,,,,
1713510906.8334162,216,1925.3739837398373,1030.4065040650407,1907.072463768116,1030.7101449275362,1921.507148742676,1015.5615386962892,,,,,,
1713510906.853996,217,1926.212962962963,1030.5555555555557,1907.8533333333328,1030.8533333333332,1921.6947174072263,1015.6366119384766,,,,,,
1713510906.875444,218,1926.7,1031.0,1908.245614035088,1031.3859649122808,1922.268539428711,1016.3128814697266,,,,,,
1713510906.897469,219,1926.6052631578948,1031.6929824561405,1908.289855072464,1032.072463768116,1922.6564102172847,1016.7127990722656,,,,,,
1713510906.9409647,220,1926.201754385965,1032.40350877193,1908.0,1032.6666666666667,1922.6278839111328,1017.4446029663086,,,,,,
1713510906.981963,221,1925.7631578947369,1033.1052631578948,1907.5686274509803,1033.5686274509803,1921.5572204589844,1018.3603744506836,,,,,,
1713510907.0034952,222,1925.3947368421047,1033.6929824561405,1907.1466666666668,1034.1466666666668,1920.861915588379,1018.7917861938477,,,,,,
1713510907.0292275,223,1925.2222222222224,1034.0,1906.888888888889,1034.1746031746031,1921.011131286621,1018.996810913086,,,,,,
1713510907.0616455,224,1925.3015873015872,1033.571428571429,1906.8533333333328,1033.8533333333332,1920.8845748901367,1018.5841445922852,,,,,,
1713510907.0818188,225,1925.3783783783783,1033.4234234234234,1906.927536231884,1033.7101449275362,1920.8171081542969,1018.6246185302734,,,,,,
1713510907.0906465,226,1926.2222222222224,1034.0,1908.072463768116,1034.2898550724638,1921.9270401000977,1018.9536361694336,,,,,,
1713510907.1025455,227,1926.877192982456,1034.4736842105262,1908.555555555556,1034.920634920635,1922.6257247924805,1019.4058837890624,,,,,,
1713510907.1244068,228,1926.5,1034.6203703703704,1908.2222222222224,1034.936507936508,1922.6882553100584,1020.0546493530272,,,,,,
1713510907.1467395,229,1926.1166666666663,1034.3333333333333,1907.8533333333328,1034.8533333333332,1922.0276947021484,1019.6549682617188,,,,,,
1713510907.170307,230,1925.805555555556,1033.9722222222222,1907.4444444444443,1034.4444444444443,1921.3203125,1019.0670013427734,,,,,,
1713510907.1927464,231,1925.6929824561405,1033.6052631578948,1907.555555555556,1033.920634920635,1921.8179626464844,1018.9173278808594,,,,,,
1713510907.214548,232,1925.8833333333328,1033.3333333333333,1907.555555555556,1033.920634920635,1921.6755065917969,1018.3026885986328,,,,,,
1713510907.2364607,233,1925.3603603603603,1033.6396396396397,1907.0416666666667,1033.9583333333333,1920.980842590332,1018.8398208618164,,,,,,
1713510907.2594352,234,1924.4736842105265,1033.7631578947369,1906.2666666666669,1034.253333333333,1919.7748260498047,1018.902572631836,,,,,,
1713510907.2806911,235,1924.0701754385964,1034.219298245614,1905.7971014492755,1034.5072463768115,1918.8636932373047,1019.3381881713868,,,,,,
1713510907.3025746,236,1923.3166666666664,1034.4333333333334,1904.8533333333328,1034.8533333333332,1918.562026977539,1019.491096496582,,,,,,
1713510907.325532,237,1922.6052631578948,1034.6929824561405,1904.289855072464,1035.072463768116,1917.7367095947263,1019.6925964355468,,,,,,
1713510907.3487308,238,1922.235294117647,1034.862745098039,1903.884615384616,1034.923076923077,1917.2064971923828,1019.8456192016602,,,,,,
1713510907.3719292,239,1923.2905982905984,1035.094017094017,1904.9333333333327,1035.5466666666666,1919.3847198486328,1020.4353561401368,,,,,,
1713510907.3939395,240,1923.63963963964,1035.6396396396397,1905.5087719298244,1035.7543859649122,1919.5977935791016,1020.8549728393556,,,,,,
1713510907.4160676,241,1924.2380952380952,1035.6761904761904,1905.884615384616,1035.923076923077,1919.9010467529297,1021.149070739746,,,,,,
1713510907.4381564,242,1924.6052631578948,1035.798245614035,1906.135802469136,1036.3086419753083,1920.144271850586,1021.051399230957,,,,,,
1713510907.4612308,243,1924.805555555556,1035.9722222222222,1906.733333333333,1036.253333333333,1920.7564315795896,1021.4513473510742,,,,,,
1713510907.4831555,244,1925.0980392156864,1036.0,1907.0266666666664,1036.253333333333,1920.817237854004,1021.3676910400392,,,,,,
1713510907.5039368,245,1925.3063063063064,1035.900900900901,1907.072463768116,1036.0289855072465,1921.5165710449216,1021.137725830078,,,,,,
1713510907.5268252,246,1925.1166666666663,1035.3333333333333,1906.927536231884,1035.7101449275362,1920.8738327026367,1020.5827255249023,,,,,,
1713510907.5497963,247,1924.7631578947369,1035.1052631578948,1906.5,1035.5,1921.224380493164,1020.6185455322266,,,,,,
