timestamps,frame_nr,left_glint1X,left_glint1Y,left_glint2X,left_glint2Y,left_pupilX,left_pupilY,right_glint1X,right_glint1Y,right_glint2X,right_glint2Y,right_pupilX,right_pupilY
1713511133.2985518,0,,,,,,,1198.6805555555557,968.4583333333334,1179.6458333333333,968.5,1187.632354736328,951.927505493164
1713511133.3205743,1,,,,,,,,,,,,
1713511133.343541,2,,,,,,,,,,,,
1713511133.3682396,3,,,,,,,,,,,,
1713511133.3882835,4,,,,,,,,,,,,
1713511133.411265,5,,,,,,,,,,,,
1713511133.4348884,6,,,,,,,,,,,,
1713511133.456958,7,1838.375,859.125,1817.43137254902,868.8039215686274,1917.2674560546875,814.9582824707031,1198.7979797979797,968.2626262626262,1180.1333333333334,968.5,1188.0521697998047,951.1854858398438
1713511133.4796214,8,,,,,,,1198.904761904762,968.312925170068,1180.1666666666667,968.3333333333334,1188.3059921264648,951.7089385986328
1713511133.5085044,9,,,,,,,,,,,,
1713511133.5301452,10,1849.0,893.5,1848.4791666666667,893.6041666666666,1923.1741638183596,830.7354526519775,1198.895238095238,968.190476190476,1180.074074074074,968.3703703703704,1188.1070232391355,951.374740600586
1713511133.551493,11,1872.0,843.5,1868.1159420289853,838.4492753623189,1894.1743125915527,758.5059642791748,1199.3333333333333,968.3541666666666,1180.4222222222222,968.5777777777778,1188.1114959716797,951.5071563720704
1713511133.5732136,12,1885.1543859649123,830.4771929824561,1883.6969696969695,822.6969696969697,1891.1768112182615,755.3564453125,1199.2198581560283,968.5248226950356,1180.4222222222222,968.5777777777778,1188.360824584961,951.7598648071288
1713511133.5950313,13,,,,,,,1199.0962962962965,968.525925925926,1180.372549019608,968.7843137254902,1188.4362411499023,951.7827301025392
1713511133.617928,14,,,,,,,,,,,,
1713511133.6397038,15,1830.3333333333333,844.3809523809524,1808.9358974358972,867.7435897435897,1897.7080078125,776.4016189575195,1198.784946236559,968.4301075268816,1179.809523809524,968.5714285714286,1187.6832466125488,951.3825073242188
1713511133.6614523,16,1880.0,821.5,1879.509433962264,822.6729559748428,1892.896049499512,758.2172775268555,1198.8867924528302,968.3459119496856,1179.578947368421,968.2982456140352,1187.685646057129,951.588508605957
1713511133.6831594,17,,,,,,,1198.7971014492753,968.0,1179.7777777777778,968.1111111111112,1187.8234100341797,951.3149032592772
1713511133.7060597,18,,,,,,,,,,,,
1713511133.7296696,19,,,,,,,,,,,,
1713511133.7513075,20,,,,,,,,,,,,
1713511133.7735677,21,,,,,,,,,,,,
1713511133.7943466,22,1850.4285714285716,893.5238095238095,1837.7777777777776,905.5555555555557,1924.0253448486328,853.8931474685669,1199.020202020202,968.080808080808,1179.875,968.7083333333331,1188.104404449463,951.0408935546876
1713511133.8163512,23,1871.9289617486336,847.4808743169399,1871.2444444444443,850.2222222222222,1915.8288650512693,783.5051441192627,1199.047619047619,968.4149659863946,1179.5072463768115,968.3768115942028,1188.239601135254,951.5325317382812
1713511133.8406842,24,,,,,,,1198.7536231884058,968.4130434782608,1179.4603174603174,968.5396825396824,1187.7947692871094,951.495849609375
1713511133.8735323,25,,,,,,,,,,,,
1713511133.8855865,26,,,,,,,,,,,,
1713511133.9068174,27,,,,,,,,,,,,
1713511133.9281847,28,,,,,,,,,,,,
1713511133.953256,29,,,,,,,,,,,,
1713511133.9763737,30,,,,,,,,,,,,
1713511134.0003676,31,1850.4074074074076,894.1851851851852,1838.3333333333333,858.5,1906.349670410156,769.9981536865234,1199.3238095238096,967.7523809523808,1180.1458333333333,968.125,1188.2904357910156,950.8062057495116
1713511134.025331,32,,,,,,,1199.2962962962963,967.8962962962964,1179.9166666666667,968.0,1188.446876525879,951.4997863769532
1713511134.0456774,33,,,,,,,,,,,,
1713511134.0676024,34,,,,,,,,,,,,
1713511134.0893035,35,,,,,,,,,,,,
1713511134.111112,36,,,,,,,,,,,,
1713511134.1347256,37,,,,,,,,,,,,
1713511134.157803,38,,,,,,,,,,,,
1713511134.1803768,39,,,,,,,,,,,,
1713511134.201297,40,,,,,,,,,,,,
1713511134.2236433,41,1838.75,858.5,1837.1666666666667,849.3333333333334,1916.827209472656,806.809253692627,1199.5,968.0,1180.3777777777775,967.9333333333334,1188.4674987792969,950.2415466308594
1713511134.2468538,42,,,,,,,1199.585185185185,967.9111111111112,1180.40350877193,968.2456140350876,1188.764533996582,951.3630981445312
1713511134.2685702,43,1849.9259259259256,893.3703703703703,1839.190476190476,859.0952380952381,1911.1934356689453,820.8069038391113,1199.4343434343434,967.7979797979798,1180.1777777777777,968.2444444444444,1188.6084938049316,951.2066650390624
1713511134.299275,44,1870.0,846.5,1837.6969696969695,837.6969696969697,1896.6450576782229,759.8932723999023,1199.4031007751937,968.124031007752,1180.1515151515152,968.1818181818182,1188.5639724731443,951.0535583496094
1713511134.3329637,45,,,,,,,1199.4962962962964,968.074074074074,1180.1515151515152,968.1818181818182,1188.6950912475586,951.5335693359376
1713511134.3502877,46,,,,,,,,,,,,
1713511134.3597476,47,,,,,,,,,,,,
1713511134.379234,48,,,,,,,,,,,,
1713511134.4018335,49,,,,,,,,,,,,
1713511134.4252808,50,1832.8333333333333,845.3333333333334,1810.2183908045977,867.3218390804598,1918.0376434326167,831.1930313110352,1199.928571428571,967.7261904761904,1180.3777777777775,967.9333333333334,1188.7745246887207,950.91943359375
1713511134.4467852,51,1871.5833333333333,845.6625,1840.0,840.5,1890.217414855957,755.6569318771362,1199.7,968.0,1180.4492753623188,968.159420289855,1188.9265213012695,951.4586181640624
1713511134.4698594,52,,,,,,,1199.8253968253969,968.0,1180.2698412698412,968.1746031746032,1188.848243713379,951.5610427856444
1713511134.4940236,53,,,,,,,,,,,,
1713511134.5182364,54,1808.7777777777776,868.7555555555556,1808.4791666666667,866.85,1914.3157501220703,823.3171615600586,1199.784946236559,968.1182795698924,1180.3777777777775,968.2888888888888,1188.719669342041,951.4340972900392
1713511134.5415378,55,1874.0,845.5,1869.074074074074,839.2222222222222,1898.507713317871,756.9746017456055,1199.7235772357724,967.9349593495934,1180.2698412698412,968.3650793650794,1189.029296875,951.4860610961914
1713511134.56364,56,,,,,,,1199.6666666666667,967.9349593495934,1180.40350877193,968.2456140350876,1188.9562301635742,951.5618057250977
1713511134.585122,57,,,,,,,,,,,,
1713511134.607146,58,,,,,,,,,,,,
1713511134.6291108,59,,,,,,,,,,,,
1713511134.652329,60,1873.9,913.9,1812.3030303030305,867.3030303030303,1908.7813415527344,816.6988010406494,1200.1182795698924,967.978494623656,1181.0392156862745,968.156862745098,1189.2522315979004,951.3753662109376
1713511134.675127,61,1871.7863247863247,846.7222222222222,1870.190476190476,849.0,1893.771240234375,757.3376159667969,1200.071428571429,968.095238095238,1180.6818181818182,968.2424242424242,1189.2318496704102,951.7759552001952
1713511134.6972914,62,,,,,,,1199.7,968.0,1180.5,968.4722222222222,1189.0939178466797,951.5863342285156
1713511134.7191825,63,,,,,,,,,,,,
