timestamps,frame_nr,left_glint1X,left_glint1Y,left_glint2X,left_glint2Y,left_pupilX,left_pupilY,right_glint1X,right_glint1Y,right_glint2X,right_glint2Y,right_pupilX,right_pupilY,pupil_area_left,pupil_area_right
1719835810.6055446,15290,1639.440251572327,1142.427672955975,1623.3947368421052,1142.798245614035,1636.5022354125977,1127.8304138183594,,,,,,,10250.631739435326,
1719835810.6284804,15291,1639.046875,1142.453125,1623.1333333333332,1142.647619047619,1636.3118362426758,1127.6265258789062,,,,,,,9926.145248584216,
1719835810.6497674,15292,1638.9137931034484,1142.344827586207,1623.0,1142.5,1636.1012268066406,1128.076400756836,,,,,,,10289.642368658537,
1719835810.6720717,15293,1639.0,1142.1954022988505,1623.0,1142.5,1635.7420654296875,1127.5639266967771,,,,,,,10230.388726185256,
1719835810.6970503,15294,1639.0,1142.1954022988505,1623.0,1142.3508771929824,1635.6672744750977,1127.2684936523438,,,,,,,10169.07413585864,
1719835810.721026,15295,1638.9107142857142,1142.2380952380952,1623.0,1142.3508771929824,1635.7715530395508,1127.498390197754,,,,,,,10298.476005695067,
1719835810.7446015,15296,1638.6969696969695,1142.1575757575758,1622.9444444444443,1142.2314814814815,1636.0289611816406,1127.1329040527344,,,,,,,10226.207154537624,
1719835810.765847,15297,1638.5974842767296,1142.125786163522,1623.0,1142.3508771929824,1635.9568786621094,1127.5066375732422,,,,,,,10306.871753477904,
1719835810.7883892,15298,1638.574074074074,1142.074074074074,1622.6324786324783,1142.3675213675217,1635.6760711669922,1127.5527572631836,,,,,,,10358.3470839823,
1719835810.8099654,15299,1638.5,1142.1538461538462,1622.4736842105262,1142.2368421052631,1635.1795654296875,1127.7832260131836,,,,,,,10421.775103460395,
1719835810.8324122,15300,1638.4591194968552,1142.3270440251572,1622.2522522522522,1142.5495495495495,1635.283920288086,1127.9187316894531,,,,,,,10402.659968233946,
1719835810.8553512,15301,1638.3030303030305,1142.1575757575758,1622.20202020202,1142.4040404040404,1635.518653869629,1127.458038330078,,,,,,,10128.193766537936,
1719835810.877161,15302,1638.2201257861634,1142.0880503144654,1622.3418803418804,1142.145299145299,1635.6443481445312,1127.007225036621,,,,,,,10043.693481086577,
1719835810.899033,15303,1638.4025157232704,1142.125786163522,1622.3418803418804,1142.145299145299,1635.3481903076172,1127.396026611328,,,,,,,10232.939671301194,
1719835810.9218714,15304,1638.3202614379086,1142.0522875816994,1622.4471544715448,1142.1382113821137,1635.2581100463867,1126.6885604858398,,,,,,,10155.803521876438,
1719835810.9437857,15305,1638.1488095238096,1142.0357142857142,1622.3418803418804,1142.145299145299,1635.322036743164,1126.9157943725586,,,,,,,10166.935728212851,
1719835810.9658947,15306,1638.0925925925926,1142.037037037037,1622.145299145299,1142.042735042735,1634.9089050292969,1127.1168899536133,,,,,,,10228.20635646713,
1719835810.9909406,15307,1637.7610062893082,1142.0691823899372,1621.9444444444443,1142.2314814814815,1634.9309768676758,1126.9016571044922,,,,,,,10085.039664221771,
1719835811.013236,15308,1637.672619047619,1142.107142857143,1622.0,1142.3508771929824,1634.730567932129,1127.0115585327148,,,,,,,10127.50107152852,
1719835811.035213,15309,1637.574074074074,1142.074074074074,1621.8119658119658,1142.196581196581,1634.6217727661133,1127.277442932129,,,,,,,10231.350785858627,
