stimulus_id,target_x,target_y,mean_x,mean_y,accuracy_x,accuracy_y,precision_x_std,precision_y_std,precision_x_s2s,precision_y_s2s,is_outlier
16,0.0,-10.0,0.03373789006747677,-9.592711981438812,0.1908840854232922,0.4072880185611881,0.21351349135255315,0.22228966725439986,0.1289068619302448,0.1721298203723737,False
30,-14.0,10.0,-14.479592072104964,11.432810146946716,0.47959207210496163,1.4328101469467143,0.1491681587363922,0.30245199468968514,0.10233313536316145,0.15804457393597987,False
27,-14.0,-5.0,-15.207527988534256,-4.322854171156125,1.2075279885342556,0.6895289297378346,0.15189518569782987,0.4005660326613938,0.13160814749711058,0.30319719258911326,False
2,21.0,-5.0,26.59087652306774,-0.6283860080313611,5.590876523067738,6.291730489677771,1.0436127456186581,4.744084148697605,0.898009545797337,2.736007313435722,True
17,0.0,-5.0,0.12129308444859863,-4.662868443704159,0.16285798304972637,0.4470306035531943,0.14992473739489048,0.4181588049282234,0.12207917516470515,0.3292803390936481,False
10,14.0,10.0,15.285471720700162,11.62664508194165,1.285471720700161,1.6266450819416487,0.16443655046683422,0.2051629116411328,0.1533072550863537,0.1258199882198675,False
12,7.0,-5.0,7.5140601125517765,-4.112553976386546,0.5140601125517756,0.8874460236134535,0.2253791462901579,0.40601857996659146,0.1408686069452944,0.29324054016195095,False
9,14.0,5.0,15.516284056089274,8.510772099231763,1.5162840560892712,3.510772099231763,1.7508662861405488,8.108928836493485,2.6111199173550173,11.88431889100425,True
7,14.0,-5.0,15.81264943012264,-3.4984689533376163,1.8126494301226381,1.5015310466623835,0.7211251221447362,0.9040285568873553,0.545099565475156,0.8108155937938184,True
5,21.0,10.0,23.733437292519046,14.020389846523683,2.7334372925190515,4.020389846523681,0.12349009291957326,0.20384544278646075,0.09702922919957574,0.17735119217776368,False
31,-21.0,-10.0,-24.505690269881963,-8.7208754903766,3.5056902698819647,1.2791245096234007,0.1725652012701002,0.4529975707683707,0.13605734447388484,0.20174872846370895,False
6,14.0,-10.0,16.856803638177702,-8.117121750010702,2.856803638177699,1.8828782499892978,0.26760982743940903,0.5056752690470656,0.15968851109063023,0.3070431772480412,False
19,0.0,5.0,-0.0028982885202045727,5.222284765533355,0.13778741176478046,0.3183522979781762,0.1682266054378374,0.27591076335350845,0.1207316935565704,0.2323772743062573,False
