timestamps,frame_nr,left_glint1X,left_glint1Y,left_glint2X,left_glint2Y,left_pupilX,left_pupilY,right_glint1X,right_glint1Y,right_glint2X,right_glint2Y,right_pupilX,right_pupilY
1713507433.932644,368,1910.679012345679,1034.574074074074,1891.6436781609195,1034.712643678161,1903.184593200684,1016.109405517578,,,,,,
1713507433.9554725,369,1910.6136363636365,1034.1818181818182,1891.41975308642,1034.7654320987654,1901.4541931152344,1018.0806121826172,,,,,,
1713507433.97745,370,1910.294871794872,1034.3461538461538,1891.3809523809523,1034.8333333333333,1902.3498764038088,1016.6353912353516,,,,,,
1713507434.0004137,371,1910.2291666666667,1034.3472222222222,1891.2666666666669,1034.746666666667,1902.524200439453,1017.6757202148438,,,,,,
1713507434.0225282,372,1910.3125,1034.375,1891.2307692307693,1034.8205128205127,1902.7107543945312,1017.2515411376952,,,,,,
1713507434.0437534,373,1910.210144927536,1034.3623188405795,1891.2666666666669,1034.746666666667,1903.3656539916992,1016.929084777832,,,,,,
1713507434.067129,374,1909.9782608695648,1034.391304347826,1891.2666666666669,1034.746666666667,1902.1507720947263,1017.2323760986328,,,,,,
1713507434.0883336,375,1909.869565217392,1034.2463768115942,1890.9753086419755,1034.8765432098764,1901.6460800170896,1017.6922302246094,,,,,,
1713507434.1102214,376,1909.757575757576,1034.2121212121212,1890.8076923076924,1034.7820512820513,1901.810111999512,1017.0782623291016,,,,,,
1713507434.1322143,377,1909.874074074074,1034.325925925926,1890.733333333333,1034.746666666667,1901.8210525512693,1017.615608215332,,,,,,
1713507434.1540847,378,1909.869565217392,1034.2463768115942,1890.733333333333,1034.746666666667,1901.77059173584,1016.5736846923828,,,,,,
1713507434.1754353,379,1910.190476190476,1034.4603174603174,1891.2307692307693,1034.8205128205127,1901.906768798828,1018.1811294555664,,,,,,
1713507434.2012558,380,1910.2148148148149,1034.637037037037,1891.25,1035.0,1902.899528503418,1018.1271209716796,,,,,,
1713507434.2234082,381,1909.9851851851847,1034.474074074074,1891.0,1034.974358974359,1902.4588928222656,1017.0854110717772,,,,,,
1713507434.2401333,382,1909.4684684684685,1034.3963963963963,1890.6521739130435,1034.8985507246375,1901.7650833129885,1017.5104293823242,,,,,,
1713507434.2619994,383,1909.5,1034.1,1890.611111111111,1034.8333333333333,1901.8408584594729,1017.367935180664,,,,,,
1713507434.2862852,384,1910.1916666666664,1034.6,1891.2666666666669,1034.746666666667,1902.1404876708984,1016.7106704711914,,,,,,
1713507434.3080945,385,1910.962962962963,1034.5925925925926,1891.9710144927533,1035.2463768115942,1903.448501586914,1017.5485305786132,,,,,,
1713507434.3317602,386,1911.4700854700848,1034.888888888889,1892.4444444444443,1035.079365079365,1904.3005905151367,1018.200439453125,,,,,,
1713507434.352503,387,1911.4962962962964,1034.925925925926,1892.5942028985507,1035.2753623188405,1904.1153717041016,1017.5708999633788,,,,,,
1713507434.375479,388,1911.3739837398373,1034.8455284552845,1892.4444444444443,1035.079365079365,1903.9334030151367,1017.1958618164062,,,,,,
1713507434.397503,389,1911.076923076923,1034.7350427350427,1892.136363636364,1035.5454545454545,1903.4103317260744,1017.8901977539062,,,,,,
1713507434.4189408,390,1910.690476190476,1034.8333333333333,1891.8533333333328,1035.1466666666668,1903.0564575195312,1017.4187469482422,,,,,,
1713507434.439331,391,1910.4959349593496,1035.0162601626016,1891.6527777777776,1035.138888888889,1904.0994720458984,1017.5451202392578,,,,,,
1713507434.4616387,392,1910.590909090909,1034.8863636363635,1891.602564102564,1035.3846153846157,1903.173301696777,1017.5367202758788,,,,,,
1713507434.4851763,393,1910.607407407408,1035.1037037037038,1891.3205128205127,1035.6923076923076,1902.678596496582,1017.3896713256836,,,,,,
1713507434.5082395,394,1910.5284552845528,1035.1626016260163,1891.555555555556,1035.920634920635,1903.2668838500977,1018.7082290649414,,,,,,
1713507434.5330224,395,1910.5,1035.1,1891.6521739130435,1035.8985507246375,1902.9568405151367,1019.198127746582,,,,,,
1713507434.556122,396,1910.122807017544,1034.6842105263158,1891.0666666666664,1035.5466666666666,1902.8005981445312,1017.8758773803712,,,,,,
1713507434.5787222,397,1910.1944444444443,1034.9722222222222,1891.2028985507245,1035.5942028985507,1901.5536193847656,1017.9744720458984,,,,,,
1713507434.600355,398,1910.1809523809525,1034.952380952381,1891.2028985507245,1035.5942028985507,1901.7279205322263,1018.0253448486328,,,,,,
1713507434.6250703,399,1909.759689922481,1035.2945736434108,1890.8636363636365,1035.5454545454545,1901.590461730957,1017.139778137207,,,,,,
1713507434.6456692,400,1909.4414414414407,1035.3693693693697,1890.6666666666667,1036.0,1901.5400848388672,1017.5476837158204,,,,,,
1713507434.6704984,401,1909.4728682170544,1035.8062015503876,1890.6666666666667,1036.0,1902.3046875,1018.192901611328,,,,,,
