timestamps,frame_nr,left_glint1X,left_glint1Y,left_glint2X,left_glint2Y,left_pupilX,left_pupilY,right_glint1X,right_glint1Y,right_glint2X,right_glint2Y,right_pupilX,right_pupilY
1713862138.0600448,174,,,,,,,1239.7083333333333,1106.2583333333332,1222.888888888889,1106.6565656565656,1224.455047607422,1088.870948791504
1713862138.082395,175,,,,,,,1240.0387596899225,1106.2713178294573,1223.0,1106.8444444444444,1224.6979064941406,1088.5189361572266
1713862138.1033263,176,,,,,,,1240.0387596899225,1106.2713178294573,1222.9080459770114,1106.6436781609195,1224.9694595336914,1088.6687316894531
1713862138.1257255,177,,,,,,,1240.0,1106.3174603174602,1223.0537634408602,1106.7956989247311,1225.549201965332,1088.5650329589844
1713862138.1509686,178,,,,,,,1239.5726495726497,1106.3247863247864,1222.4666666666667,1106.7777777777778,1224.3301010131836,1088.7330322265625
1713862138.1728315,179,,,,,,,1239.1166666666666,1106.3333333333333,1222.0537634408602,1106.7956989247311,1224.1703338623047,1089.083152770996
1713862138.1948593,180,,,,,,,1239.0387596899225,1106.2713178294573,1222.0537634408602,1106.7956989247311,1223.7044219970703,1088.1988372802734
1713862138.2171595,181,,,,,,,1239.2518518518518,1106.362962962963,1222.0537634408602,1106.7956989247311,1223.7773361206057,1088.5332717895508
1713862138.2382076,182,,,,,,,1239.595238095238,1106.047619047619,1222.5,1106.4333333333334,1224.668312072754,1088.2354278564453
1713862138.26132,183,,,,,,,1240.3418803418804,1105.7777777777778,1223.0537634408602,1106.2043010752689,1224.6211547851562,1087.7866744995115
1713862138.2822568,184,,,,,,,1240.5528455284552,1105.7235772357724,1223.3823529411766,1106.343137254902,1224.8301239013672,1088.2666091918943
1713862138.3053205,185,,,,,,,1240.6201550387598,1105.6201550387598,1223.34375,1106.2083333333333,1225.3875732421875,1088.166160583496
1713862138.3284,186,,,,,,,1240.5,1105.7583333333332,1223.3010752688172,1106.268817204301,1225.1521759033203,1088.187957763672
1713862138.350088,187,,,,,,,1240.3603603603603,1105.6396396396397,1223.0,1106.0,1225.0178833007812,1088.2991256713867
1713862138.3866522,188,,,,,,,1239.6581196581196,1105.6581196581196,1222.716049382716,1106.2345679012346,1224.7206497192385,1088.028190612793
1713862138.4133885,189,,,,,,,1239.4761904761904,1105.8809523809523,1222.3763440860216,1106.268817204301,1224.1494979858398,1088.0458068847656
1713862138.439737,190,,,,,,,1239.421052631579,1105.6666666666667,1222.1954022988505,1106.264367816092,1224.1607513427734,1088.2358169555664
1713862138.453518,191,,,,,,,1239.3739837398373,1105.6422764227643,1222.0,1105.8444444444444,1224.0352325439453,1087.9403839111328
1713862138.4682832,192,,,,,,,1239.1754385964912,1105.7280701754385,1222.0537634408602,1106.2043010752689,1224.4465560913086,1087.8949356079102
1713862138.4861543,193,,,,,,,1239.111111111111,1105.4761904761904,1222.0,1105.8444444444444,1224.0464706420898,1088.2026748657229
1713862138.5084164,194,,,,,,,1239.3166666666666,1105.4333333333334,1222.0,1106.1555555555556,1225.1167068481443,1087.834716796875
1713862138.53083,195,,,,,,,1239.3076923076924,1105.5299145299143,1222.0,1105.8444444444444,1223.7458572387695,1087.7283020019531
1713862138.551569,196,,,,,,,1239.1166666666666,1105.3333333333333,1222.0537634408602,1105.7956989247311,1224.0380401611328,1087.869598388672
1713862138.5768845,197,,,,,,,1239.520325203252,1105.2113821138212,1222.46875,1105.625,1224.4153518676758,1087.847427368164
1713862138.5975575,198,,,,,,,1239.6929824561405,1105.3947368421052,1222.5977011494251,1105.7701149425288,1224.6711120605469,1087.2403564453125
1713862138.6199408,199,,,,,,,1239.7698412698412,1105.3650793650793,1222.978494623656,1105.763440860215,1225.0188674926758,1087.8990859985352
1713862138.642311,200,,,,,,,1239.7560975609756,1105.2113821138212,1222.928571428571,1105.7261904761904,1225.354721069336,1087.8712005615234
1713862138.665013,201,,,,,,,1239.8863636363635,1105.3484848484848,1222.892857142857,1105.7619047619048,1224.503059387207,1088.0311813354492
