timestamps,frame_nr,left_glint1X,left_glint1Y,left_glint2X,left_glint2Y,left_pupilX,left_pupilY,right_glint1X,right_glint1Y,right_glint2X,right_glint2Y,right_pupilX,right_pupilY,pupil_area_left,pupil_area_right
1719822807.9217677,1709,1629.5625,1377.173611111111,1614.892857142857,1377.928571428571,1624.4044723510742,1361.2364044189453,1091.574074074074,1397.820987654321,1076.215053763441,1398.4301075268818,1081.0680465698242,1380.883056640625,4008.2016201289935,5418.539594223035
1719822807.9340618,1710,1629.6666666666667,1377.4761904761904,1615.0,1378.0,1624.9142532348633,1361.002212524414,1091.6209150326797,1398.0,1076.2444444444443,1398.5,1081.612564086914,1380.2712326049805,4205.258524963956,5245.617173845903
1719822807.9540524,1711,1629.7364341085272,1377.3178294573645,1615.0,1377.8444444444444,1624.8605880737305,1361.6517715454102,1091.6054421768708,1398.0272108843535,1076.3333333333333,1398.3908045977012,1081.330337524414,1380.6761169433594,4296.159134611626,5347.36566842526
1719822807.9755502,1712,1629.7037037037037,1377.1925925925923,1615.0,1378.0,1624.8106994628906,1361.3530349731443,1091.6209150326797,1397.8954248366013,1076.425287356322,1398.2298850574712,1081.7559356689453,1381.029815673828,4204.331598274287,5415.373098887166
1719822807.997679,1713,1629.7037037037037,1377.1925925925923,1615.111111111111,1377.6565656565656,1625.1521759033203,1361.576431274414,1091.6797385620914,1397.9477124183006,1076.2156862745098,1398.1764705882354,1081.4801864624023,1380.4380569458008,4431.750150303988,5211.670465131992
1719822808.0194292,1714,1629.7037037037037,1377.1925925925923,1615.0537634408602,1377.7956989247311,1624.7647857666016,1361.6491622924805,1091.6209150326797,1397.8954248366013,1076.20202020202,1398.2626262626263,1081.5467224121094,1380.2522811889648,4400.113182875455,5328.384091145028
1719822808.0413537,1715,1629.590909090909,1377.121212121212,1615.0459770114942,1377.6436781609195,1624.8119201660156,1362.321533203125,1091.4310344827586,1397.8333333333333,1076.2156862745098,1398.1764705882354,1081.1130752563477,1380.9021453857422,4536.121674700825,5287.572588816153
1719822808.0636857,1716,1629.451851851852,1377.037037037037,1614.625,1377.53125,1624.6266784667969,1361.0962448120115,1091.3333333333333,1397.7030303030303,1076.017094017094,1398.2735042735042,1080.6724090576172,1380.5314254760742,4192.774436894755,5203.228189864815
1719822808.0936048,1717,1629.390070921986,1377.1418439716313,1614.8045977011493,1377.6781609195402,1624.6325988769531,1361.783302307129,1091.0354609929077,1397.914893617021,1075.9166666666667,1398.425925925926,1080.5979690551758,1380.1655807495115,4285.138717356361,5273.365744821585
1719822808.1168544,1718,1629.3565891472867,1377.0852713178294,1614.716049382716,1377.7654320987654,1624.3102416992188,1361.2373886108398,1091.1933333333334,1397.9066666666668,1075.8235294117646,1398.3333333333333,1080.9254531860352,1380.7024688720703,4396.469516852631,5395.130834505089
1719822808.1408472,1719,1629.2954545454545,1377.2727272727273,1614.5,1377.5,1624.3835754394531,1361.0174102783203,1091.1939393939394,1397.8121212121212,1075.7979797979797,1398.2626262626263,1080.9893417358398,1380.5904083251953,4211.957076599416,5101.068547744565
1719822808.1603951,1720,1629.1937984496124,1377.2015503875969,1614.5555555555557,1377.5656565656566,1624.306526184082,1362.1400299072266,1090.7758620689656,1397.6896551724135,1075.71875,1398.3541666666667,1080.390625,1379.8509826660156,4387.935296009037,5220.128731898422
1719822808.1801708,1721,1629.2962962962963,1377.1925925925923,1614.3444444444444,1377.6444444444444,1624.7822189331057,1361.3567504882812,1090.691823899371,1397.8238993710693,1075.6021505376343,1398.215053763441,1080.774024963379,1380.008186340332,4228.938532074799,5257.053386022433
1719822808.1999729,1722,1629.0325203252032,1377.2357723577236,1614.1358024691358,1377.9876543209875,1624.3759841918943,1361.117416381836,1090.6666666666667,1397.7030303030303,1075.4411764705883,1398.235294117647,1080.089469909668,1380.6123886108398,4274.142350869718,5300.5612811445135
1719822808.2232916,1723,1628.9621212121212,1377.1363636363635,1614.071428571429,1377.7261904761904,1624.2462539672852,1361.317138671875,1090.691823899371,1397.8238993710693,1075.3444444444444,1398.3666666666666,1080.791519165039,1380.541633605957,4162.315130445741,5156.743849654376
1719822808.2433558,1724,1629.111111111111,1377.2380952380952,1614.3131313131314,1377.5656565656566,1623.985382080078,1361.7344436645508,1090.691823899371,1397.8238993710693,1075.5,1398.0,1080.0203704833984,1379.989013671875,4312.955632600752,5255.174773555278
1719822808.266465,1725,1629.3333333333333,1377.0227272727273,1614.537634408602,1377.6344086021504,1624.5812759399414,1361.173484802246,1090.691823899371,1397.8238993710693,1075.6770833333333,1398.1875,1080.6063919067385,1379.8999633789062,4266.606978161759,5132.224499313176
1719822808.289811,1726,1629.5,1377.072463768116,1614.9753086419753,1377.5061728395062,1624.8306884765625,1361.0887145996094,1091.202614379085,1397.8366013071895,1075.875,1398.1979166666667,1080.8766860961914,1380.174789428711,4039.89410088821,5237.385211690837
1719822808.3112388,1727,1629.6201550387598,1377.108527131783,1615.0459770114942,1377.6436781609195,1624.4844512939453,1361.9577713012695,1091.202614379085,1397.8366013071895,1076.0555555555557,1398.2314814814815,1081.3939361572266,1380.888900756836,4287.715924249864,5451.834944563839
1719822808.3332584,1728,1629.609929078014,1377.1418439716313,1614.96875,1377.46875,1624.7420043945312,1361.5373916625977,1091.251572327044,1397.7295597484276,1076.1203703703704,1398.111111111111,1081.2899627685547,1380.0748977661133,4369.197819377582,5132.686351023656
1719822808.3553529,1729,1629.6434108527133,1377.0852713178294,1614.928571428571,1377.7261904761904,1624.642433166504,1360.8734512329102,1091.202614379085,1397.8366013071895,1075.970588235294,1398.3039215686274,1081.263412475586,1380.0475234985352,4220.243380082611,5129.434871595813
