stimulus,start_time,end_time,positionX,positionY
8,1714045538.9940464,1714045540.931664,14.0,0.0
16,1714045542.4330614,1714045544.431066,0.0,-10.0
30,1714045545.7353733,1714045547.835319,-14.0,10.0
27,1714045549.1580956,1714045551.0579708,-14.0,-5.0
2,1714045552.3312428,1714045554.4351926,21.0,-5.0
17,1714045555.905416,1714045557.9378908,0.0,-5.0
10,1714045559.157586,1714045561.0592191,14.0,10.0
12,1714045562.2813609,1714045564.3822556,7.0,-5.0
9,1714045565.6319618,1714045567.5325434,14.0,5.0
7,1714045568.8064415,1714045570.910441,14.0,-5.0
5,1714045571.9311423,1714045573.9318147,21.0,10.0
31,1714045575.3318124,1714045577.4323,-21.0,-10.0
6,1714045578.6066625,1714045580.5090673,14.0,-10.0
19,1714045581.9108715,1714045583.9314058,0.0,5.0
21,1714045585.1860187,1714045587.2864764,-7.0,-10.0
22,1714045588.3861887,1714045590.4319491,-7.0,-5.0
29,1714045591.5838199,1714045593.4854918,-14.0,5.0
4,1714045594.6563287,1714045596.5564966,21.0,5.0
28,1714045597.6566222,1714045599.5564442,-14.0,0.0
15,1714045600.6310647,1714045602.5413144,7.0,10.0
35,1714045603.9813035,1714045605.931734,-21.0,10.0
13,1714045607.4310603,1714045609.4311442,7.0,0.0
24,1714045610.75645,1714045612.8587475,-7.0,5.0
14,1714045614.1343274,1714045616.0347116,7.0,5.0
20,1714045617.4319296,1714045619.4382644,0.0,10.0
18,1714045620.8567533,1714045622.9335606,0.0,0.0
26,1714045624.1564715,1714045626.060585,-14.0,-10.0
11,1714045627.1811922,1714045629.2838538,7.0,-10.0
34,1714045630.3093717,1714045632.4162302,-21.0,5.0
33,1714045633.8059356,1714045635.9080741,-21.0,0.0
25,1714045637.131562,1714045639.0316155,-7.0,10.0
1,1714045640.0352917,1714045641.9377017,21.0,-10.0
23,1714045643.4365785,1714045645.430978,-7.0,0.0
3,1714045646.5069368,1714045648.4313407,21.0,0.0
32,1714045649.657407,1714045651.5768342,-21.0,-5.0
