stimulus_id,target_x,target_y,mean_x,mean_y,accuracy_x,accuracy_y,precision_x_std,precision_y_std,precision_x_s2s,precision_y_s2s,is_outlier
8,14.0,0.0,15.578761597538962,0.8969639619646527,1.5787615975389648,0.8979163594477577,0.27892315032844384,0.40077259479451677,0.14222382334407557,0.23645311740803662,False
16,0.0,-10.0,-0.05111969633607936,-10.595304441787107,0.20294254709468335,0.5953044417871067,0.2570144721535778,0.3319089705971501,0.17743535320545528,0.23066281817629453,False
30,-14.0,10.0,-14.689262427181161,11.867174169064642,0.6988890388732051,1.867174169064642,1.6010176080075675,0.42098908080342645,1.769088721508892,0.4030836094363538,True
27,-14.0,-5.0,-14.562768771799409,-2.92946217117567,0.56276877179941,2.07053782882433,0.1668751396814106,0.23329555730249,0.09808921346149416,0.31049067735091274,False
2,21.0,-5.0,24.486961518376024,-3.650249600903647,3.486961518376027,1.349750399096353,0.16379919968702022,0.362909924441796,0.11234628170105192,0.1725648414096585,False
17,0.0,-5.0,0.7711114938765516,-4.828944620151458,2.6077426269768,1.4359171058995575,9.20009620325151,3.4441697077439795,13.865316684524865,4.88489582371915,True
10,14.0,10.0,15.120453087555193,10.71179509886745,1.1204530875551948,0.7387669121522858,0.2116515620346888,0.4291802603950301,0.17091771112751378,0.2717763853277652,False
12,7.0,-5.0,7.922299205981891,-4.926379665701016,0.9222992059818896,0.3581606722393343,0.2862112191374854,0.41135697680978905,0.1820006554899252,0.27111464455875456,False
9,14.0,5.0,15.025680041616475,5.223844686631047,1.025680041616474,0.3254255361456978,0.18961845140653855,0.3092802935330622,0.14464262866072583,0.2492424950517775,False
7,14.0,-5.0,15.532927980579723,-4.455403695756329,1.5329279805797247,0.5445963042436703,0.1956501434154721,0.25517080032429296,0.15224749014111066,0.2700787198150527,False
5,21.0,10.0,22.971424069636793,11.879252282395397,1.9714240696367922,1.8792522823953979,0.13167062701453666,0.2572665438864505,0.13799889743463775,0.16741580051197955,False
31,-21.0,-10.0,-24.34170042679778,-8.401513968939518,3.341700426797776,1.598486031060482,0.22380643836223765,0.3779184352374887,0.20636063373752228,0.3309613997743497,False
6,14.0,-10.0,15.954017275179956,-9.368962521744562,1.954017275179955,0.6737394340769847,0.24854340389709548,0.47710237459110283,0.13175837931841816,0.27207808469849437,False
19,0.0,5.0,-0.02682545245892295,4.853277000175794,0.17389101459730974,0.2511384644082117,0.216779082425911,0.283821202177124,0.1978835607586555,0.24581983437827698,False
21,-7.0,-10.0,-7.24737201792574,-9.475167636219624,0.32848604922747504,0.6025244281749278,0.39991994911477674,0.5419788668106601,0.24782326814152472,0.24752268843861416,False
22,-7.0,-5.0,-7.211616456758176,-4.42199690778933,0.21851895309012231,0.5956674723025004,0.19082645111014965,0.390501838349386,0.12497309795130002,0.273104126673269,False
29,-14.0,5.0,0.4816441246222544,0.05099368809666651,14.481644124622257,4.949006311903334,0.12660246172152384,0.2470413991933281,0.11379335224654517,0.20810255454449,False
4,21.0,5.0,23.33689666750403,6.3664855796205915,2.336896667504025,1.3664855796205913,0.30127619449099496,0.2925447064778303,0.1435101830973158,0.23458594033665006,False
28,-14.0,0.0,-14.578540901985967,1.873893899880545,0.5785409019859653,1.873893899880545,0.22802320467791876,0.3341201064596571,0.1210330153939661,0.19228779407752522,False
15,7.0,10.0,7.231710191767309,10.967016752131313,0.2325096324512939,0.9670167521313102,0.13350301690576097,0.2207175401878163,0.15578145235816776,0.19485624628882162,False
35,-21.0,10.0,-22.91531891960045,13.541999819692323,1.9153189196004499,3.541999819692322,0.19571747759458547,0.2533201492221897,0.12133909042242784,0.2029111738856905,False
13,7.0,0.0,7.211130953377686,-0.47878429434477604,0.2307113848520305,0.5136498099685979,0.22647834949475432,0.3534828324175395,0.1455426822631607,0.37806995462393717,False
24,-7.0,5.0,-7.024701417109429,5.403230098977776,0.27685995141237496,0.4127884523286924,0.6196504827185767,0.22558586477568301,0.42853725361048967,0.18316458106391673,True
14,7.0,5.0,7.415775717493021,4.869382800443563,0.4157757174930212,0.2868323551908072,0.16192353248878885,0.29775599928676544,0.1404539670438969,0.17104140177598096,False
20,0.0,10.0,-0.2735691512963353,10.282148213512825,0.27634876237955264,0.34222318328415535,0.24737328856699028,0.31299970663462584,0.16728310679271685,0.2062917297529171,False
