timestamps,frame_nr,left_glint1X,left_glint1Y,left_glint2X,left_glint2Y,left_pupilX,left_pupilY,right_glint1X,right_glint1Y,right_glint2X,right_glint2Y,right_pupilX,right_pupilY
1713358228.865811,201,,,,,,,1296.1757575757576,1250.387878787879,1275.3418803418804,1253.7777777777778,1302.8524475097656,1221.7511596679688
1713358228.887446,202,,,,,,,1296.3666666666666,1250.52,1275.5,1253.7368421052631,1302.3499908447266,1221.4373779296875
1713358228.9082444,203,,,,,,,1296.679012345679,1250.574074074074,1276.074074074074,1253.638888888889,1302.2932739257812,1221.6544952392578
1713358228.9290786,204,,,,,,,1296.986928104575,1250.437908496732,1276.201754385965,1253.7543859649122,1302.7455368041992,1221.502296447754
1713358228.950791,205,,,,,,,1297.1205673758866,1250.45390070922,1276.3166666666666,1253.7166666666667,1303.0489044189453,1221.3942413330078
1713358228.9707618,206,,,,,,,1297.1843971631206,1250.5390070921983,1276.4666666666667,1253.6761904761904,1303.3751068115234,1221.5955200195312
1713358228.991631,207,,,,,,,1297.268115942029,1250.5652173913045,1276.375,1253.825,1303.0116729736328,1221.5502014160156
1713358229.0120108,208,,,,,,,1297.2066666666667,1250.4,1276.5,1253.7314814814815,1303.0994338989258,1221.8344802856443
1713358229.032967,209,,,,,,,1297.1944444444443,1250.5,1276.3603603603603,1253.6396396396397,1303.0098724365234,1221.5733261108398
1713358229.053336,210,,,,,,,1297.163120567376,1250.54609929078,1276.3603603603603,1253.6396396396397,1303.0509338378906,1221.5715560913086
1713358229.0739408,211,,,,,,,1296.9219858156027,1250.7163120567377,1276.2380952380952,1253.6761904761904,1302.5518646240234,1221.7466430664062
1713358229.094585,212,,,,,,,1296.8125,1250.7777777777778,1276.1616161616162,1253.7777777777778,1302.3035354614258,1221.8110122680664
1713358229.1143165,213,,,,,,,1296.7407407407406,1250.9851851851852,1275.895238095238,1254.190476190476,1302.4265365600586,1221.7837982177734
1713358229.135075,214,,,,,,,1296.6041666666667,1250.7916666666667,1275.888888888889,1254.050505050505,1302.282585144043,1222.0054092407229
1713358229.156738,215,,,,,,,1296.6041666666667,1250.7916666666667,1275.978494623656,1253.763440860215,1302.3378067016602,1222.1445770263672
1713358229.177637,216,,,,,,,1296.645390070922,1250.9432624113474,1275.978494623656,1253.763440860215,1302.6109313964844,1221.9815368652344
1713358229.198798,217,,,,,,,1296.595238095238,1250.690476190476,1275.7619047619048,1253.6761904761904,1302.6091384887695,1222.108871459961
1713358229.219833,218,,,,,,,1296.449612403101,1250.8217054263566,1275.611111111111,1253.7777777777778,1301.5997619628906,1221.9630584716797
1713358229.2395208,219,,,,,,,1296.0,1250.4126984126983,1275.2380952380952,1253.6761904761904,1301.5049667358398,1221.5217361450195
1713358229.2603076,220,,,,,,,1296.0,1250.55,1275.375,1253.53125,1301.572151184082,1221.753562927246
1713358229.2811277,221,,,,,,,1296.4351851851852,1250.5,1275.8172043010752,1253.537634408602,1301.217399597168,1221.2608337402344
1713358229.3012674,222,,,,,,,1296.375,1250.825,1275.8735632183907,1253.6781609195402,1301.5933685302734,1221.548439025879
