timestamps,frame_nr,left_glint1X,left_glint1Y,left_glint2X,left_glint2Y,left_pupilX,left_pupilY,right_glint1X,right_glint1Y,right_glint2X,right_glint2Y,right_pupilX,right_pupilY,pupil_area_left,pupil_area_right
1719835946.816452,4771,1814.4252873563216,1219.896551724138,1798.4444444444443,1220.1666666666667,1810.773582458496,1205.9860382080078,1223.5,1245.0,1207.8533333333332,1245.1466666666668,1211.0587158203125,1232.666046142578,9478.784688419391,9343.476043878774
1719835946.839299,4772,1814.5,1220.0,1798.5087719298244,1220.2456140350878,1810.251075744629,1206.1030197143557,1223.4444444444443,1245.212962962963,1207.923076923077,1245.2051282051282,1211.1595153808594,1233.5561447143557,9681.662302111432,9254.528282030778
1719835946.8602462,4773,1814.4567901234568,1220.0617283950617,1798.5087719298244,1220.2456140350878,1810.6426239013672,1205.151725769043,1223.5299145299143,1245.162393162393,1207.923076923077,1245.2051282051282,1210.9061737060547,1233.6220703125,9328.407865489964,9319.330071399518
1719835946.883139,4774,1814.4567901234568,1220.0617283950617,1798.5,1220.0,1809.728744506836,1205.4431838989258,1223.4736842105262,1244.877192982456,1207.8533333333332,1245.1466666666668,1211.316909790039,1232.9670867919922,9430.070398859663,9516.079175301336
1719835946.9060884,4775,1813.602564102564,1219.6923076923076,1797.5,1219.6458333333333,1809.4097747802728,1205.892807006836,1224.4666666666667,1244.4380952380952,1208.8533333333332,1244.1466666666668,1212.1737518310547,1232.0952758789062,8913.174328128733,9020.371493592544
1719835946.9286788,4776,,,,,1813.1309814453125,1229.4082794189453,1224.8735632183907,1242.4022988505749,1209.4444444444443,1242.920634920635,1196.8212127685547,1239.4259567260742,13051.256213637524,13538.72029530699
1719835946.950447,4777,1816.0,1257.5,1794.0,1307.5,1816.53434753418,1225.8703155517578,1224.3238095238096,1242.4666666666667,1208.6833333333334,1242.55,1197.7847595214844,1237.871063232422,14226.176340977852,12613.89057544644
1719835946.9719958,4778,1814.5726495726497,1217.6324786324783,1798.575,1217.825,1822.3365936279297,1213.3868026733398,1224.357142857143,1242.928571428571,1208.8533333333332,1243.1466666666668,1198.367805480957,1234.452865600586,11827.892738902336,13924.631003383733
1719835946.9938886,4779,1814.711111111111,1218.4833333333331,1798.7619047619048,1218.6761904761904,1812.4229888916016,1203.9265747070312,1224.2043010752689,1243.3010752688172,1208.8484848484848,1243.5,1211.5523223876953,1230.912841796875,11640.22002590127,9250.777945481408
1719835947.0157082,4780,1814.8333333333333,1218.875,1798.8533333333332,1219.1466666666668,1811.5762176513672,1202.8454818725586,1224.1358024691358,1243.6913580246917,1208.7333333333331,1243.85,1211.3176803588867,1231.9649200439453,9292.949560774206,8769.70548781011
