timestamps,frame_nr,left_glint1X,left_glint1Y,left_glint2X,left_glint2Y,left_pupilX,left_pupilY,right_glint1X,right_glint1Y,right_glint2X,right_glint2Y,right_pupilX,right_pupilY,pupil_area_left,pupil_area_right
1719823255.5267503,1408,1797.0,1511.0,1782.0,1510.6060606060605,1788.9697341918943,1494.482307434082,1249.3798449612402,1523.6201550387598,1234.7333333333331,1523.7333333333331,1239.4930953979492,1505.7158584594729,4112.001874378456,4530.636631982207
1719823255.5421877,1409,1796.75,1511.0,1781.6333333333332,1510.85,1788.1699600219729,1493.7042541503906,1249.0592592592593,1523.525925925926,1234.079365079365,1523.5555555555557,1238.8122863769531,1504.963233947754,3916.759002402706,4428.32239168582
1719823255.5654905,1410,1796.2043010752689,1510.9462365591398,1781.2962962962963,1510.6851851851852,1787.8628311157229,1493.8562240600586,1248.6821705426355,1523.2635658914728,1233.7543859649122,1523.491228070175,1238.9492263793943,1504.965461730957,3992.046609858943,4621.665647894125
1719823255.587352,1411,1795.942528735632,1510.942528735632,1781.0,1510.6666666666667,1787.5590133666992,1493.4391403198242,1248.5811965811963,1523.162393162393,1233.5686274509803,1523.4313725490197,1238.4471969604492,1505.0427703857422,3835.7484521808974,4710.294533478295
1719823255.609026,1412,1795.8444444444444,1511.0,1780.8070175438595,1511.0350877192982,1787.3479690551758,1493.979461669922,1248.5,1523.309523809524,1233.2962962962963,1523.4444444444443,1238.0308532714844,1504.8887329101562,3975.241419043039,4545.410587921642
1719823255.6304832,1413,1795.7956989247311,1511.0537634408602,1780.8253968253969,1511.1746031746031,1787.6415557861328,1494.2275848388672,1248.425,1523.4,1233.2962962962963,1523.4444444444443,1238.1570129394531,1504.7019119262695,3977.11254897022,4483.268676399287
1719823255.654058,1414,1795.7956989247311,1511.0537634408602,1780.8070175438595,1511.3333333333333,1787.4586715698242,1493.903663635254,1248.3418803418804,1523.4529914529917,1233.2962962962963,1523.4444444444443,1237.6668014526367,1505.22900390625,3859.757553758018,4618.09865728658
1719823255.676064,1415,1795.7948717948718,1511.2051282051282,1781.0,1511.5,1787.5798416137695,1494.2888107299805,1248.30081300813,1523.5284552845528,1233.079365079365,1523.5555555555557,1238.0739212036133,1505.4752502441406,3995.069038646113,4700.961838338561
1719823255.6989622,1416,1795.8045977011493,1511.3218390804598,1781.0,1511.5,1787.482879638672,1493.9925384521484,1248.4188034188037,1523.837606837607,1233.4313725490197,1523.5686274509803,1238.2688598632812,1505.0878143310547,3863.1040969476594,4579.174385985551
1719823255.7224116,1417,1795.923076923077,1511.1153846153843,1781.0,1511.5,1788.2606811523438,1494.6235122680664,1248.5238095238096,1523.5238095238096,1233.6315789473683,1523.6140350877192,1238.2295532226562,1505.5637130737305,4313.9695699322265,4600.177808774416
