timestamps,frame_nr,left_glint1X,left_glint1Y,left_glint2X,left_glint2Y,left_pupilX,left_pupilY,right_glint1X,right_glint1Y,right_glint2X,right_glint2Y,right_pupilX,right_pupilY
1713507944.4228358,5508,,,,,,,1248.5,1171.4655172413793,1229.0617283950617,1171.5432098765432,1238.968734741211,1153.318374633789
1713507944.4469717,5509,,,,,,,1248.672619047619,1171.071428571429,1229.46875,1171.375,1238.201202392578,1152.959014892578
1713507944.4699252,5510,,,,,,,1248.4540229885058,1170.9540229885058,1229.1264367816093,1171.4022988505749,1238.7623748779297,1153.5315246582031
1713507944.494071,5511,,,,,,,1248.55,1170.9555555555555,1229.268817204301,1171.3763440860216,1239.1485977172852,1153.3527526855469
1713507944.5141113,5512,,,,,,,1248.456989247312,1171.1774193548388,1229.3333333333333,1171.3333333333333,1238.667999267578,1152.6649322509766
1713507944.5395126,5513,,,,,,,1248.6607142857142,1171.297619047619,1229.375,1171.46875,1239.5796279907229,1153.676170349121
1713507944.5580325,5514,,,,,,,1248.7798742138366,1171.0503144654087,1229.7555555555557,1171.5,1238.9607238769531,1153.0976486206057
1713507944.5806017,5515,,,,,,,1248.521212121212,1171.230303030303,1229.190476190476,1171.357142857143,1239.251579284668,1153.9517822265625
1713507944.602435,5516,,,,,,,1248.051724137931,1171.3793103448277,1229.0,1171.8444444444444,1238.284324645996,1153.667449951172
1713507944.6260324,5517,,,,,,,1247.970760233918,1171.1520467836258,1228.83908045977,1171.712643678161,1238.4243240356443,1153.9482650756836
1713507944.648444,5518,,,,,,,1248.795321637427,1171.0818713450292,1229.375,1171.46875,1239.514907836914,1153.1340255737305
1713507944.670085,5519,,,,,,,1249.0689655172414,1171.2586206896551,1229.875,1171.5,1240.0253448486328,1153.8428573608398
1713507944.6936655,5520,,,,,,,1249.392857142857,1171.315476190476,1230.1264367816093,1171.4022988505749,1240.1536483764648,1153.4005508422852
1713507944.715465,5521,,,,,,,1249.3763440860216,1171.0,1230.190476190476,1171.357142857143,1240.4512557983398,1152.7811813354492
1713507944.7377367,5522,,,,,,,1249.0892857142858,1171.154761904762,1229.7555555555557,1171.5,1239.5554504394531,1152.2902297973633
1713507944.7665434,5523,,,,,,,1248.8907103825136,1171.2185792349726,1229.7555555555557,1171.5,1239.571258544922,1154.10205078125
1713507944.7825117,5524,,,,,,,1248.517857142857,1171.517857142857,1229.4343434343434,1171.6868686868686,1239.5347518920898,1153.833885192871
1713507944.8043072,5525,,,,,,,1248.224043715847,1171.6338797814208,1229.0537634408602,1171.7956989247311,1240.0217208862305,1153.965316772461
